CASEID,recid,wght_per,wght_csp,wght_snt,spltsmpl,whw120gr,whw_230,whw_240,jsr_01gr,jsr_02,jsr_03,jsr_04,jsr_05,jsr_06,jsr_07,jsr_08,jsr_09,jsr_10,wir_01,wir_02,wir_03,wir_04,wir_05,wir_06,wir_07,heh_01,heh_02,heh_03,heh_04,heh_09,heh_10,heh_11,drr_110,smk_05,srh_110,srh_115,fam_03,fam_04,smg_01,smg_02,ttlincg2,famincg2
    1,    1, 1388.4301, 2051.1482,    0.0000,2,3, 1,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 4, 5, 2, 0,2,4, 5,3,3,2,2,1,1,96,2,5
    2,    2,  883.7773,    0.0000, 1591.8291,1,3, 1,6,6,2,96,2,6,6,2,2,1,1,2,3,2,3,3,1,2,4, 2, 5, 2,98,5,6, 6,1,3,4,6,6,3, 6,4,4
    3,    3,  362.3344,  609.9090,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 4, 1, 1, 0,5,6, 7,3,2,1,6,6,1,96,2,2
    4,    4, 1851.6844, 4415.0486,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 3, 5, 3, 2,2,1, 6,3,4,2,2,1,3, 6,1,3
    5,    5, 5425.0386,10207.6590,    0.0000,2,3, 1,6,6,2,96,2,6,6,2,3,2,5,1,1,1,1,2,1,2,1, 6,96,96,96,6,6, 7,3,3,1,6,6,2, 6,1,2
    6,    6, 1950.0595,    0.0000, 3499.4663,1,3, 8,2,1,6,96,2,6,6,6,6,2,2,3,3,1,6,6,1,6,2, 3, 5, 4, 1,4,2, 4,3,2,2,2,2,4, 2,5,6
    7,    7,  243.9423,  512.1013,    0.0000,2,3, 1,6,6,2,96,2,6,6,2,2,2,2,1,1,2,1,3,1,1,1, 3, 5, 3,13,2,3, 7,3,2,2,6,6,3, 2,4,4
    8,    8, 1906.9227, 3729.6664,    0.0000,2,3, 1,6,6,2,96,2,6,6,3,3,2,2,2,2,2,3,3,2,1,2, 2, 5, 4, 0,4,4, 4,3,3,4,1,2,3, 3,5,6
    9,    9, 2851.9172,    0.0000, 4601.0671,1,4,98,6,6,2,96,2,6,6,1,2,2,2,4,2,1,3,5,1,1,2, 5, 3, 3, 0,5,6, 4,3,2,2,6,6,4, 5,1,4
   10,   10, 7052.0922,14773.3372,    0.0000,2,3, 1,6,6,1,96,2,6,6,1,1,1,2,2,2,1,3,5,2,1,3, 6,96,96,96,6,6, 7,3,3,1,1,1,3, 3,2,6
   11,   11,  240.3204,    0.0000,  463.0704,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4, 3, 3, 4, 1,5,6, 3,3,2,2,6,6,3, 7,2,2
   12,   12,  600.7242,    0.0000, 1502.8332,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4, 3, 5, 2, 3,3,3, 7,3,3,3,1,1,2, 2,2,2
   13,   13, 5172.4044,    0.0000, 9256.4362,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 5, 5, 3, 3,1,3, 7,3,3,3,2,2,4, 4,1,4
   14,   14,  458.8399,  989.7889,    0.0000,2,3, 1,6,6,2,96,2,6,6,2,2,2,2,2,1,2,1,5,1,1,3, 5, 5, 4, 0,5,6, 5,3,3,3,2,2,2, 1,3,5
   15,   15, 1266.6496, 2424.3495,    0.0000,2,3, 1,6,6,1,96,2,6,6,1,1,2,1,2,1,1,1,3,1,1,2, 2, 2, 1, 3,5,6, 2,2,2,1,1,1,3, 1,4,6
   16,   16,  315.8262,    0.0000,  523.8814,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 5, 3, 3, 0,4,4, 6,3,3,2,6,6,1,96,2,2
   17,   17, 3092.0364,    0.0000, 6375.8006,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 3, 5, 6, 1,3,5, 7,3,2,3,2,1,3,97,1,3
   18,   18,  491.8486,  893.5527,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 3, 5, 4, 0,3,4, 6,3,2,2,1,2,2, 7,1,2
   19,   19, 1934.3269, 3336.6221,    0.0000,2,3, 1,6,6,2,96,2,6,6,1,4,2,1,2,1,2,3,5,1,1,3, 3, 5, 1, 2,4,3, 2,3,2,2,4,3,3, 1,5,6
   20,   20, 1000.7205,    0.0000, 3244.5277,1,3, 1,6,6,2,96,2,6,6,2,1,1,1,1,3,3,1,3,1,2,1, 5, 4, 1, 0,1,4, 5,3,1,1,2,2,1,96,1,2
   21,   21,  792.8688,    0.0000, 1208.6868,1,4, 6,9,6,1,96,2,6,6,1,1,1,1,1,2,2,1,5,1,1,5, 1, 5, 1, 0,2,2, 7,3,2,1,6,6,2, 7,4,4
